Date : 2024-10-28 23:41:18
Directory : d:\projects\flutter\49-mobile-app
Total : 2882 files,  236190 codes, 35878 comments, 25383 blanks, all 297451 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |      2,754 |    230,046 |     35,769 |     25,177 |    290,992 |
| lib\features\account_taps\account\data\models                                                                                                                                                                 |          8 |        158 |         42 |         29 |        229 |
| lib\features\account_taps\account\data\models (Files)                                                                                                                                                         |          6 |        136 |          1 |         20 |        157 |
| lib\features\account_taps\account\data\models\favouite_category_model                                                                                                                                         |          2 |         22 |         41 |          9 |         72 |
| lib\features\account_taps\account\data\repositories                                                                                                                                                           |          1 |         35 |          0 |         11 |         46 |
| lib\features\account_taps\account\domain                                                                                                                                                                      |         11 |        166 |          0 |         29 |        195 |
| lib\features\account_taps\account\domain\entities                                                                                                                                                             |          5 |         81 |          0 |         13 |         94 |
| lib\features\account_taps\account\domain\repositories                                                                                                                                                         |          1 |         16 |          0 |          5 |         21 |
| lib\features\account_taps\account\domain\usecases                                                                                                                                                             |          5 |         69 |          0 |         11 |         80 |
| lib\features\account_taps\account\presentation                                                                                                                                                                |         17 |        950 |        282 |         78 |      1,310 |
| lib\features\account_taps\account\presentation\cubit                                                                                                                                                          |          9 |        243 |          2 |         43 |        288 |
| lib\features\account_taps\account\presentation\cubit (Files)                                                                                                                                                  |          2 |         13 |          0 |          7 |         20 |
| lib\features\account_taps\account\presentation\cubit\cubit                                                                                                                                                    |          2 |         55 |          0 |         10 |         65 |
| lib\features\account_taps\account\presentation\cubit\managers                                                                                                                                                 |          5 |        175 |          2 |         26 |        203 |
| lib\features\account_taps\account\presentation\features                                                                                                                                                       |          2 |          0 |         18 |          2 |         20 |
| lib\features\account_taps\account\presentation\features\privacy                                                                                                                                               |          2 |          0 |         18 |          2 |         20 |
| lib\features\account_taps\account\presentation\features\privacy\presentation                                                                                                                                  |          2 |          0 |         18 |          2 |         20 |
| lib\features\account_taps\account\presentation\features\privacy\presentation\cubit                                                                                                                            |          2 |          0 |         18 |          2 |         20 |
| lib\features\account_taps\account\presentation\pages                                                                                                                                                          |          6 |        707 |        262 |         33 |      1,002 |
| lib\features\account_taps\account\presentation\pages (Files)                                                                                                                                                  |          3 |        191 |         18 |         13 |        222 |
| lib\features\account_taps\account\presentation\pages\widgets                                                                                                                                                  |          3 |        516 |        244 |         20 |        780 |
| lib\features\account_taps\contact_us                                                                                                                                                                          |         10 |        262 |          3 |         31 |        296 |
| lib\features\account_taps\contact_us\data                                                                                                                                                                     |          3 |         63 |          0 |         14 |         77 |
| lib\features\account_taps\contact_us\data\datasources                                                                                                                                                         |          1 |         33 |          0 |          4 |         37 |
| lib\features\account_taps\contact_us\data\models                                                                                                                                                              |          1 |         11 |          0 |          4 |         15 |
| lib\features\account_taps\contact_us\data\repositories                                                                                                                                                        |          1 |         19 |          0 |          6 |         25 |
| lib\features\account_taps\contact_us\domain                                                                                                                                                                   |          4 |         39 |          0 |          8 |         47 |
| lib\features\account_taps\contact_us\domain\entities                                                                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| lib\features\account_taps\contact_us\domain\repositories                                                                                                                                                      |          1 |          8 |          0 |          3 |         11 |
| lib\features\account_taps\contact_us\domain\usecases                                                                                                                                                          |          2 |         26 |          0 |          4 |         30 |
| lib\features\account_taps\contact_us\presentation                                                                                                                                                             |          3 |        160 |          3 |          9 |        172 |
| lib\features\account_taps\contact_us\presentation\cubit                                                                                                                                                       |          2 |         50 |          0 |          6 |         56 |
| lib\features\account_taps\contact_us\presentation\pages                                                                                                                                                       |          1 |        110 |          3 |          3 |        116 |
| lib\features\account_taps\lists                                                                                                                                                                               |         18 |      1,197 |          7 |        100 |      1,304 |
| lib\features\account_taps\lists\data                                                                                                                                                                          |          7 |        208 |          0 |         32 |        240 |
| lib\features\account_taps\lists\data\datasources                                                                                                                                                              |          1 |         77 |          0 |         10 |         87 |
| lib\features\account_taps\lists\data\models                                                                                                                                                                   |          5 |        101 |          0 |         14 |        115 |
| lib\features\account_taps\lists\data\repositories                                                                                                                                                             |          1 |         30 |          0 |          8 |         38 |
| lib\features\account_taps\lists\domain                                                                                                                                                                        |          7 |         98 |          0 |         14 |        112 |
| lib\features\account_taps\lists\domain\entities                                                                                                                                                               |          2 |         20 |          0 |          4 |         24 |
| lib\features\account_taps\lists\domain\repositories                                                                                                                                                           |          1 |         14 |          0 |          2 |         16 |
| lib\features\account_taps\lists\domain\usecases                                                                                                                                                               |          4 |         64 |          0 |          8 |         72 |
| lib\features\account_taps\lists\presentation                                                                                                                                                                  |          4 |        891 |          7 |         54 |        952 |
| lib\features\account_taps\lists\presentation\cubit                                                                                                                                                            |          2 |        271 |          0 |         25 |        296 |
| lib\features\account_taps\lists\presentation\pages                                                                                                                                                            |          1 |        426 |          7 |         22 |        455 |
| lib\features\account_taps\lists\presentation\widgets                                                                                                                                                          |          1 |        194 |          0 |          7 |        201 |
| lib\features\account_taps\my_adds                                                                                                                                                                             |         64 |      4,132 |        543 |        334 |      5,009 |
| lib\features\account_taps\my_adds\data                                                                                                                                                                        |         17 |        852 |          3 |        108 |        963 |
| lib\features\account_taps\my_adds\data\datasources                                                                                                                                                            |          1 |        227 |          1 |         26 |        254 |
| lib\features\account_taps\my_adds\data\model                                                                                                                                                                  |         15 |        507 |          1 |         55 |        563 |
