Date : 2024-10-28 23:41:18
Directory : d:\projects\flutter\49-mobile-app
Total : 2882 files,  236190 codes, 35878 comments, 25383 blanks, all 297451 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |      2,754 |    230,046 |     35,769 |     25,177 |    290,992 |
| lib\features\social_media\club_house\presentation\controller                                                                                                                                                  |          2 |        157 |          7 |         20 |        184 |
| lib\features\social_media\club_house\presentation\pages                                                                                                                                                       |          2 |        231 |        113 |         11 |        355 |
| lib\features\social_media\club_house\presentation\widgets                                                                                                                                                     |          8 |      1,535 |         41 |         61 |      1,637 |
| lib\features\social_media\club_house\presentation\widgets (Files)                                                                                                                                             |          5 |      1,241 |         27 |         42 |      1,310 |
| lib\features\social_media\club_house\presentation\widgets\components                                                                                                                                          |          3 |        294 |         14 |         19 |        327 |
| lib\features\social_media\create_post                                                                                                                                                                         |         26 |      1,933 |         58 |        135 |      2,126 |
| lib\features\social_media\create_post\data                                                                                                                                                                    |          6 |        188 |         12 |         23 |        223 |
| lib\features\social_media\create_post\data\datasources                                                                                                                                                        |          1 |         89 |         12 |          8 |        109 |
| lib\features\social_media\create_post\data\models                                                                                                                                                             |          4 |         58 |          0 |          8 |         66 |
| lib\features\social_media\create_post\data\repositories                                                                                                                                                       |          1 |         41 |          0 |          7 |         48 |
| lib\features\social_media\create_post\domain                                                                                                                                                                  |         11 |        201 |          0 |         26 |        227 |
| lib\features\social_media\create_post\domain\entities                                                                                                                                                         |          4 |         41 |          0 |          7 |         48 |
| lib\features\social_media\create_post\domain\repositories                                                                                                                                                     |          1 |         19 |          0 |          2 |         21 |
| lib\features\social_media\create_post\domain\usecases                                                                                                                                                         |          6 |        141 |          0 |         17 |        158 |
| lib\features\social_media\create_post\presentation                                                                                                                                                            |          9 |      1,544 |         46 |         86 |      1,676 |
| lib\features\social_media\create_post\presentation\cubit                                                                                                                                                      |          2 |        357 |         32 |         41 |        430 |
| lib\features\social_media\create_post\presentation\pages                                                                                                                                                      |          3 |        761 |          3 |         21 |        785 |
| lib\features\social_media\create_post\presentation\widgets                                                                                                                                                    |          4 |        426 |         11 |         24 |        461 |
| lib\features\social_media\edit_profile                                                                                                                                                                        |          9 |        709 |          1 |         42 |        752 |
| lib\features\social_media\edit_profile\data                                                                                                                                                                   |          2 |         36 |          0 |         10 |         46 |
| lib\features\social_media\edit_profile\data\datasources                                                                                                                                                       |          1 |         22 |          0 |          4 |         26 |
| lib\features\social_media\edit_profile\data\repositories                                                                                                                                                      |          1 |         14 |          0 |          6 |         20 |
| lib\features\social_media\edit_profile\domain                                                                                                                                                                 |          3 |         66 |          0 |          7 |         73 |
| lib\features\social_media\edit_profile\domain\entities                                                                                                                                                        |          1 |         46 |          0 |          3 |         49 |
| lib\features\social_media\edit_profile\domain\repositories                                                                                                                                                    |          1 |          7 |          0 |          2 |          9 |
| lib\features\social_media\edit_profile\domain\usecases                                                                                                                                                        |          1 |         13 |          0 |          2 |         15 |
| lib\features\social_media\edit_profile\presentation                                                                                                                                                           |          4 |        607 |          1 |         25 |        633 |
| lib\features\social_media\edit_profile\presentation\cubit                                                                                                                                                     |          2 |        109 |          1 |         17 |        127 |
| lib\features\social_media\edit_profile\presentation\pages                                                                                                                                                     |          1 |        445 |          0 |          6 |        451 |
| lib\features\social_media\edit_profile\presentation\widgets                                                                                                                                                   |          1 |         53 |          0 |          2 |         55 |
| lib\features\social_media\instagram                                                                                                                                                                           |         22 |      4,138 |         85 |        179 |      4,402 |
| lib\features\social_media\instagram\data                                                                                                                                                                      |          3 |        167 |          0 |         25 |        192 |
| lib\features\social_media\instagram\data\datasources                                                                                                                                                          |          1 |        107 |          0 |         14 |        121 |
| lib\features\social_media\instagram\data\models                                                                                                                                                               |          1 |         18 |          0 |          3 |         21 |
| lib\features\social_media\instagram\data\repositories                                                                                                                                                         |          1 |         42 |          0 |          8 |         50 |
| lib\features\social_media\instagram\domain                                                                                                                                                                    |          8 |        154 |          2 |         18 |        174 |
| lib\features\social_media\instagram\domain\entities                                                                                                                                                           |          1 |         13 |          0 |          2 |         15 |
| lib\features\social_media\instagram\domain\repositories                                                                                                                                                       |          1 |         20 |          0 |          2 |         22 |
| lib\features\social_media\instagram\domain\usecases                                                                                                                                                           |          6 |        121 |          2 |         14 |        137 |
| lib\features\social_media\instagram\presentation                                                                                                                                                              |         11 |      3,817 |         83 |        136 |      4,036 |
| lib\features\social_media\instagram\presentation\cubit                                                                                                                                                        |          2 |        614 |         44 |         50 |        708 |
| lib\features\social_media\instagram\presentation\pages                                                                                                                                                        |          1 |        116 |          0 |          9 |        125 |
| lib\features\social_media\instagram\presentation\widgets                                                                                                                                                      |          8 |      3,087 |         39 |         77 |      3,203 |
| lib\features\social_media\live_streaming                                                                                                                                                                      |        355 |     50,448 |      6,771 |      8,584 |     65,803 |
| lib\features\social_media\live_streaming\data                                                                                                                                                                 |          7 |        266 |         13 |         64 |        343 |
| lib\features\social_media\live_streaming\data\datasource                                                                                                                                                      |          1 |        146 |         10 |         37 |        193 |
| lib\features\social_media\live_streaming\data\model                                                                                                                                                           |          5 |         71 |          3 |         15 |         89 |
| lib\features\social_media\live_streaming\data\repository                                                                                                                                                      |          1 |         49 |          0 |         12 |         61 |
| lib\features\social_media\live_streaming\domain                                                                                                                                                               |         14 |        234 |          3 |         68 |        305 |
| lib\features\social_media\live_streaming\domain\entity                                                                                                                                                        |          5 |         66 |          3 |         19 |         88 |
| lib\features\social_media\live_streaming\domain\repository                                                                                                                                                    |          1 |         21 |          0 |          3 |         24 |
| lib\features\social_media\live_streaming\domain\usecases                                                                                                                                                      |          8 |        147 |          0 |         46 |        193 |
| lib\features\social_media\live_streaming\presentation                                                                                                                                                         |        334 |     49,948 |      6,755 |      8,452 |     65,155 |
| lib\features\social_media\live_streaming\presentation\controller                                                                                                                                              |          1 |        179 |          7 |         28 |        214 |
| lib\features\social_media\live_streaming\presentation\pages                                                                                                                                                   |          2 |        161 |         19 |         18 |        198 |
| lib\features\social_media\live_streaming\presentation\widgets                                                                                                                                                 |        331 |     49,608 |      6,729 |      8,406 |     64,743 |
| lib\features\social_media\live_streaming\presentation\widgets (Files)                                                                                                                                         |          1 |         15 |          0 |          5 |         20 |
