"filename", "language", "Dart", "comment", "blank", "total"
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\appbar\home_appbar.dart", "Dart", 146, 8, 8, 162
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\appbar\nested_appbar.dart", "Dart", 18, 0, 4, 22
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\buttons\app_button.dart", "Dart", 68, 0, 5, 73
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\buttons\default_button.dart", "Dart", 170, 0, 13, 183
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\buttons\elevated_button.dart", "Dart", 45, 0, 5, 50
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\buttons\iconAppButton.dart", "Dart", 57, 0, 5, 62
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\buttons\progress_button.dart", "Dart", 99, 0, 10, 109
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\buttons\text_button.dart", "Dart", 43, 0, 5, 48
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\charts\bar_chart.dart", "Dart", 76, 2, 15, 93
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\custom_sheet\custom_vertical_sheet_item.dart", "Dart", 57, 0, 4, 61
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\custom_sheet\sheet_vertical_item.dart", "Dart", 13, 0, 3, 16
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\dynamic\CarouselSlider.dart", "Dart", 61, 0, 9, 70
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\dynamic\are_you_sure.dart", "Dart", 66, 0, 5, 71
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\dynamic\carousel_slider.dart", "Dart", 61, 0, 9, 70
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\dynamic\rating_stars.dart", "Dart", 32, 0, 5, 37
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\dynamic\ratio_widget.dart", "Dart", 35, 0, 5, 40
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\dynamic\review_card.dart", "Dart", 46, 0, 4, 50
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\dynamic\shared_bottom_navigator.dart", "Dart", 33, 0, 4, 37
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\dynamic\shared_scaffold.dart", "Dart", 29, 0, 4, 33
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\images\image_picker_placeholder.dart", "Dart", 55, 0, 6, 61
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\images\image_uploader_widget.dart", "Dart", 53, 0, 6, 59
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\images\profile_image.dart", "Dart", 41, 0, 5, 46
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\images\social_image_viewer.dart", "Dart", 61, 7, 4, 72
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\images\square_image.dart", "Dart", 41, 0, 4, 45
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\labels\badged_label.dart", "Dart", 60, 0, 6, 66
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\labels\info_text.dart", "Dart", 27, 0, 3, 30
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\stateless\labels\label.dart", "Dart", 26, 0, 4, 30
