Date : 2024-08-20 21:35:42
Directory : d:\projects\flutter\49\49-mobile-app\lib
Total : 1472 files,  95704 codes, 8632 comments, 11769 blanks, all 116105 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |      1,472 |     95,704 |      8,632 |     11,769 |    116,105 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| features\ride\trip_details                                                                                                                                                        |         18 |        619 |          2 |         76 |        697 |
| features\ride\trip_details\data                                                                                                                                                   |          5 |        100 |          1 |         21 |        122 |
| features\ride\trip_details\data\datasources                                                                                                                                       |          1 |         38 |          1 |          7 |         46 |
| features\ride\trip_details\data\models                                                                                                                                            |          3 |         43 |          0 |          8 |         51 |
| features\ride\trip_details\data\repositories                                                                                                                                      |          1 |         19 |          0 |          6 |         25 |
| features\ride\trip_details\domain                                                                                                                                                 |          6 |         66 |          0 |         17 |         83 |
| features\ride\trip_details\domain\entities                                                                                                                                        |          3 |         31 |          0 |          6 |         37 |
| features\ride\trip_details\domain\repositories                                                                                                                                    |          1 |          8 |          0 |          3 |         11 |
| features\ride\trip_details\domain\usecases                                                                                                                                        |          2 |         27 |          0 |          8 |         35 |
| features\ride\trip_details\presentation                                                                                                                                           |          7 |        453 |          1 |         38 |        492 |
| features\ride\trip_details\presentation\cubit                                                                                                                                     |          2 |         70 |          0 |         14 |         84 |
| features\ride\trip_details\presentation\pages                                                                                                                                     |          1 |         18 |          0 |          3 |         21 |
| features\ride\trip_details\presentation\widgets                                                                                                                                   |          4 |        365 |          1 |         21 |        387 |
| features\settings                                                                                                                                                                 |          3 |        123 |          2 |         11 |        136 |
| features\settings\presentation                                                                                                                                                    |          3 |        123 |          2 |         11 |        136 |
| features\settings\presentation\cubit                                                                                                                                              |          2 |         13 |          0 |          7 |         20 |
| features\settings\presentation\pages                                                                                                                                              |          1 |        110 |          2 |          4 |        116 |
| features\shipping                                                                                                                                                                 |         43 |      2,956 |        617 |        263 |      3,836 |
| features\shipping\create_shipping_request                                                                                                                                         |         43 |      2,956 |        617 |        263 |      3,836 |
| features\shipping\create_shipping_request\data                                                                                                                                    |         25 |        606 |        142 |        123 |        871 |
| features\shipping\create_shipping_request\data\datasources                                                                                                                        |          3 |         98 |          2 |         20 |        120 |
| features\shipping\create_shipping_request\data\models                                                                                                                             |         19 |        396 |          0 |         78 |        474 |
| features\shipping\create_shipping_request\data\models (Files)                                                                                                                     |          3 |         86 |          0 |          8 |         94 |
| features\shipping\create_shipping_request\data\models\banner_model                                                                                                                |          3 |         80 |          0 |         13 |         93 |
| features\shipping\create_shipping_request\data\models\car_images_s3_model                                                                                                         |          2 |         31 |          0 |          9 |         40 |
| features\shipping\create_shipping_request\data\models\car_license_s3_model                                                                                                        |          3 |         60 |          0 |         13 |         73 |
| features\shipping\create_shipping_request\data\models\drivnig_license_s3_model                                                                                                    |          3 |         60 |          0 |         13 |         73 |
| features\shipping\create_shipping_request\data\models\info_documents_model                                                                                                        |          2 |         31 |          0 |          9 |         40 |
| features\shipping\create_shipping_request\data\models\info_id_s3_model                                                                                                            |          3 |         48 |          0 |         13 |         61 |
| features\shipping\create_shipping_request\data\repositories                                                                                                                       |          3 |        112 |        140 |         25 |        277 |
| features\shipping\create_shipping_request\domain                                                                                                                                  |          3 |         47 |          0 |         12 |         59 |
| features\shipping\create_shipping_request\domain\repositories                                                                                                                     |          1 |         18 |          0 |          6 |         24 |
| features\shipping\create_shipping_request\domain\usecases                                                                                                                         |          2 |         29 |          0 |          6 |         35 |
| features\shipping\create_shipping_request\presentation                                                                                                                            |         15 |      2,303 |        475 |        128 |      2,906 |
| features\shipping\create_shipping_request\presentation\cubit                                                                                                                      |          6 |        587 |         28 |         68 |        683 |
| features\shipping\create_shipping_request\presentation\pages                                                                                                                      |          3 |      1,103 |        417 |         31 |      1,551 |
| features\shipping\create_shipping_request\presentation\widgets                                                                                                                    |          6 |        613 |         30 |         29 |        672 |
| features\social_media                                                                                                                                                             |        402 |     43,688 |      5,719 |      5,558 |     54,965 |
| features\social_media\chat                                                                                                                                                        |         43 |      2,898 |        347 |        299 |      3,544 |
| features\social_media\chat\chat_room                                                                                                                                              |         24 |      1,551 |         55 |        156 |      1,762 |
| features\social_media\chat\chat_room\data                                                                                                                                         |          7 |        185 |          0 |         31 |        216 |
| features\social_media\chat\chat_room\data\datasources                                                                                                                             |          1 |         37 |          0 |          7 |         44 |
| features\social_media\chat\chat_room\data\models                                                                                                                                  |          5 |        126 |          0 |         18 |        144 |
| features\social_media\chat\chat_room\data\repositories                                                                                                                            |          1 |         22 |          0 |          6 |         28 |
| features\social_media\chat\chat_room\domain                                                                                                                                       |          8 |        127 |          0 |         25 |        152 |
| features\social_media\chat\chat_room\domain\entities                                                                                                                              |          4 |         83 |          0 |         12 |         95 |
| features\social_media\chat\chat_room\domain\repositories                                                                                                                          |          1 |         10 |          0 |          3 |         13 |
| features\social_media\chat\chat_room\domain\usecases                                                                                                                              |          3 |         34 |          0 |         10 |         44 |
| features\social_media\chat\chat_room\presentation                                                                                                                                 |          9 |      1,239 |         55 |        100 |      1,394 |
| features\social_media\chat\chat_room\presentation\chat_cubit                                                                                                                      |          2 |        164 |         15 |         34 |        213 |
| features\social_media\chat\chat_room\presentation\pages                                                                                                                           |          1 |        225 |          5 |         13 |        243 |
| features\social_media\chat\chat_room\presentation\widgets                                                                                                                         |          6 |        850 |         35 |         53 |        938 |
| features\social_media\chat\chat_room\presentation\widgets\room                                                                                                                    |          6 |        850 |         35 |         53 |        938 |
| features\social_media\chat\chat_view                                                                                                                                              |         19 |      1,347 |        292 |        143 |      1,782 |
| features\social_media\chat\chat_view\data                                                                                                                                         |          4 |        248 |          0 |         36 |        284 |
| features\social_media\chat\chat_view\data\datasources                                                                                                                             |          1 |        112 |          0 |         15 |        127 |
| features\social_media\chat\chat_view\data\models                                                                                                                                  |          2 |         93 |          0 |         13 |        106 |
| features\social_media\chat\chat_view\data\repositories                                                                                                                            |          1 |         43 |          0 |          8 |         51 |
| features\social_media\chat\chat_view\domain                                                                                                                                       |          8 |        101 |          0 |         25 |        126 |
| features\social_media\chat\chat_view\domain\repositories                                                                                                                          |          1 |         13 |          0 |          2 |         15 |
| features\social_media\chat\chat_view\domain\usecases                                                                                                                              |          7 |         88 |          0 |         23 |        111 |
| features\social_media\chat\chat_view\presentation                                                                                                                                 |          7 |        998 |        292 |         82 |      1,372 |
| features\social_media\chat\chat_view\presentation\chat_cubit                                                                                                                      |          2 |        245 |          8 |         36 |        289 |
