Date : 2024-08-20 21:35:42
Directory : d:\projects\flutter\49\49-mobile-app\lib
Total : 1472 files,  95704 codes, 8632 comments, 11769 blanks, all 116105 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |      1,472 |     95,704 |      8,632 |     11,769 |    116,105 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| features\account_taps\contact_us\domain\repositories                                                                                                                              |          1 |          8 |          0 |          3 |         11 |
| features\account_taps\contact_us\domain\usecases                                                                                                                                  |          2 |         26 |          0 |          4 |         30 |
| features\account_taps\contact_us\presentation                                                                                                                                     |          3 |        123 |          0 |         11 |        134 |
| features\account_taps\contact_us\presentation\cubit                                                                                                                               |          2 |         47 |          0 |          7 |         54 |
| features\account_taps\contact_us\presentation\pages                                                                                                                               |          1 |         76 |          0 |          4 |         80 |
| features\account_taps\lists                                                                                                                                                       |         13 |        449 |        121 |         58 |        628 |
| features\account_taps\lists\data                                                                                                                                                  |          3 |         87 |          0 |         18 |        105 |
| features\account_taps\lists\data\datasources                                                                                                                                      |          1 |         53 |          0 |          8 |         61 |
| features\account_taps\lists\data\models                                                                                                                                           |          1 |          9 |          0 |          2 |         11 |
| features\account_taps\lists\data\repositories                                                                                                                                     |          1 |         25 |          0 |          8 |         33 |
| features\account_taps\lists\domain                                                                                                                                                |          6 |         71 |          0 |         13 |         84 |
| features\account_taps\lists\domain\entities                                                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| features\account_taps\lists\domain\repositories                                                                                                                                   |          1 |          9 |          0 |          3 |         12 |
| features\account_taps\lists\domain\usecases                                                                                                                                       |          4 |         53 |          0 |          8 |         61 |
| features\account_taps\lists\presentation                                                                                                                                          |          4 |        291 |        121 |         27 |        439 |
| features\account_taps\lists\presentation\cubit                                                                                                                                    |          2 |        107 |          0 |         15 |        122 |
| features\account_taps\lists\presentation\pages                                                                                                                                    |          1 |        172 |          4 |          7 |        183 |
| features\account_taps\lists\presentation\widgets                                                                                                                                  |          1 |         12 |        117 |          5 |        134 |
| features\account_taps\my_adds                                                                                                                                                     |         18 |        895 |         15 |        101 |      1,011 |
| features\account_taps\my_adds\data                                                                                                                                                |          2 |        178 |          3 |         31 |        212 |
| features\account_taps\my_adds\data\datasources                                                                                                                                    |          1 |        117 |          2 |         15 |        134 |
| features\account_taps\my_adds\data\repositories                                                                                                                                   |          1 |         61 |          1 |         16 |         78 |
| features\account_taps\my_adds\domain                                                                                                                                              |         12 |        157 |          0 |         30 |        187 |
| features\account_taps\my_adds\domain\repositories                                                                                                                                 |          1 |         19 |          0 |          3 |         22 |
| features\account_taps\my_adds\domain\usecases                                                                                                                                     |         11 |        138 |          0 |         27 |        165 |
| features\account_taps\my_adds\presentation                                                                                                                                        |          4 |        560 |         12 |         40 |        612 |
| features\account_taps\my_adds\presentation\cubit                                                                                                                                  |          2 |        189 |          0 |         22 |        211 |
| features\account_taps\my_adds\presentation\pages                                                                                                                                  |          1 |        171 |          0 |         10 |        181 |
| features\account_taps\my_adds\presentation\widgets                                                                                                                                |          1 |        200 |         12 |          8 |        220 |
| features\account_taps\policies                                                                                                                                                    |          3 |         34 |          0 |         11 |         45 |
| features\account_taps\policies\presentation                                                                                                                                       |          3 |         34 |          0 |         11 |         45 |
| features\account_taps\policies\presentation\cubit                                                                                                                                 |          2 |         13 |          0 |          7 |         20 |
| features\account_taps\policies\presentation\pages                                                                                                                                 |          1 |         21 |          0 |          4 |         25 |
| features\account_taps\privacy                                                                                                                                                     |          6 |        291 |          0 |         23 |        314 |
| features\account_taps\privacy\domain                                                                                                                                              |          1 |          7 |          0 |          1 |          8 |
| features\account_taps\privacy\domain\entities                                                                                                                                     |          1 |          7 |          0 |          1 |          8 |
| features\account_taps\privacy\presentation                                                                                                                                        |          5 |        284 |          0 |         22 |        306 |
| features\account_taps\privacy\presentation\cubit                                                                                                                                  |          2 |         13 |          0 |          7 |         20 |
| features\account_taps\privacy\presentation\pages                                                                                                                                  |          1 |        112 |          0 |          4 |        116 |
| features\account_taps\privacy\presentation\widgets                                                                                                                                |          2 |        159 |          0 |         11 |        170 |
| features\account_taps\settings                                                                                                                                                    |          3 |         21 |          0 |         10 |         31 |
| features\account_taps\settings\presentation                                                                                                                                       |          3 |         21 |          0 |         10 |         31 |
| features\account_taps\settings\presentation\cubit                                                                                                                                 |          2 |         13 |          0 |          7 |         20 |
| features\account_taps\settings\presentation\pages                                                                                                                                 |          1 |          8 |          0 |          3 |         11 |
| features\account_taps\share_app                                                                                                                                                   |          3 |        284 |          1 |         24 |        309 |
| features\account_taps\share_app\presentation                                                                                                                                      |          3 |        284 |          1 |         24 |        309 |
| features\account_taps\share_app\presentation\cubit                                                                                                                                |          2 |         33 |          0 |         14 |         47 |
| features\account_taps\share_app\presentation\pages                                                                                                                                |          1 |        251 |          1 |         10 |        262 |
| features\account_taps\transfer_money                                                                                                                                              |          3 |         97 |          0 |         12 |        109 |
| features\account_taps\transfer_money\presentation                                                                                                                                 |          3 |         97 |          0 |         12 |        109 |
| features\account_taps\transfer_money\presentation\cubit                                                                                                                           |          2 |         13 |          0 |          7 |         20 |
| features\account_taps\transfer_money\presentation\pages                                                                                                                           |          1 |         84 |          0 |          5 |         89 |
| features\account_taps\wallet                                                                                                                                                      |         24 |      1,121 |         75 |        109 |      1,305 |
| features\account_taps\wallet\data                                                                                                                                                 |          5 |        109 |          1 |         21 |        131 |
| features\account_taps\wallet\data\datasources                                                                                                                                     |          1 |         49 |          1 |          6 |         56 |
| features\account_taps\wallet\data\models                                                                                                                                          |          3 |         35 |          0 |          6 |         41 |
| features\account_taps\wallet\data\repositories                                                                                                                                    |          1 |         25 |          0 |          9 |         34 |
| features\account_taps\wallet\domain                                                                                                                                               |          7 |         80 |          0 |         15 |         95 |
| features\account_taps\wallet\domain\entities                                                                                                                                      |          3 |         26 |          0 |          3 |         29 |
| features\account_taps\wallet\domain\repositories                                                                                                                                  |          1 |         12 |          0 |          3 |         15 |
| features\account_taps\wallet\domain\usecases                                                                                                                                      |          3 |         42 |          0 |          9 |         51 |
| features\account_taps\wallet\presentation                                                                                                                                         |         12 |        932 |         74 |         73 |      1,079 |
| features\account_taps\wallet\presentation\cubit                                                                                                                                   |          2 |         93 |          0 |         12 |        105 |
| features\account_taps\wallet\presentation\pages                                                                                                                                   |          5 |        534 |         72 |         32 |        638 |
| features\account_taps\wallet\presentation\widgets                                                                                                                                 |          5 |        305 |          2 |         29 |        336 |
| features\ads_feature                                                                                                                                                              |         54 |      2,324 |          9 |        265 |      2,598 |
| features\ads_feature\ad_details                                                                                                                                                   |          9 |        531 |          3 |         55 |        589 |
| features\ads_feature\ad_details\data                                                                                                                                              |          2 |         66 |          0 |         14 |         80 |
| features\ads_feature\ad_details\data\datasources                                                                                                                                  |          1 |         42 |          0 |          7 |         49 |
| features\ads_feature\ad_details\data\repositories                                                                                                                                 |          1 |         24 |          0 |          7 |         31 |
| features\ads_feature\ad_details\domain                                                                                                                                            |          4 |         57 |          0 |         15 |         72 |
| features\ads_feature\ad_details\domain\repositories                                                                                                                               |          1 |         10 |          0 |          3 |         13 |
| features\ads_feature\ad_details\domain\usecases                                                                                                                                   |          3 |         47 |          0 |         12 |         59 |
| features\ads_feature\ad_details\presentation                                                                                                                                      |          3 |        408 |          3 |         26 |        437 |
| features\ads_feature\ad_details\presentation\cubit                                                                                                                                |          2 |         89 |          0 |         13 |        102 |
| features\ads_feature\ad_details\presentation\pages                                                                                                                                |          1 |        319 |          3 |         13 |        335 |
| features\ads_feature\ads                                                                                                                                                          |         20 |        755 |          4 |         85 |        844 |
| features\ads_feature\ads\data                                                                                                                                                     |          6 |        215 |          0 |         27 |        242 |
| features\ads_feature\ads\data\datasources                                                                                                                                         |          1 |         64 |          0 |         10 |         74 |
| features\ads_feature\ads\data\models                                                                                                                                              |          4 |        118 |          0 |          9 |        127 |
| features\ads_feature\ads\data\repositories                                                                                                                                        |          1 |         33 |          0 |          8 |         41 |
| features\ads_feature\ads\domain                                                                                                                                                   |         10 |        162 |          0 |         29 |        191 |
| features\ads_feature\ads\domain\entities                                                                                                                                          |          4 |         73 |          0 |         10 |         83 |
| features\ads_feature\ads\domain\repositories                                                                                                                                      |          1 |         14 |          0 |          3 |         17 |
| features\ads_feature\ads\domain\usecases                                                                                                                                          |          5 |         75 |          0 |         16 |         91 |
| features\ads_feature\ads\presentation                                                                                                                                             |          4 |        378 |          4 |         29 |        411 |
| features\ads_feature\ads\presentation\cubit                                                                                                                                       |          2 |        149 |          0 |         14 |        163 |
| features\ads_feature\ads\presentation\pages                                                                                                                                       |          1 |        118 |          1 |         11 |        130 |
| features\ads_feature\ads\presentation\widgets                                                                                                                                     |          1 |        111 |          3 |          4 |        118 |
| features\ads_feature\create_ad                                                                                                                                                    |         14 |        753 |          2 |         85 |        840 |
| features\ads_feature\create_ad\data                                                                                                                                               |          3 |         73 |          0 |         14 |         87 |
| features\ads_feature\create_ad\data\datasources                                                                                                                                   |          1 |         35 |          0 |          5 |         40 |
| features\ads_feature\create_ad\data\models                                                                                                                                        |          1 |         18 |          0 |          3 |         21 |
| features\ads_feature\create_ad\data\repositories                                                                                                                                  |          1 |         20 |          0 |          6 |         26 |
